CourtID,CourtName,DistrictID,StateID,Active
1,Bagalkot District Criminal Court,1,1,true
2,Ballari District Criminal Court,2,1,true
3,Belagavi District Criminal Court,3,1,true
4,Bengaluru Rural District Criminal Court,4,1,true
5,Bengaluru Urban District Criminal Court,5,1,true
6,Bidar District Criminal Court,6,1,true
7,Chamarajanagar District Criminal Court,7,1,true
8,Chikkaballapura District Criminal Court,8,1,true
9,Chikkamagaluru District Criminal Court,9,1,true
10,Chitradurga District Criminal Court,10,1,true
11,Dakshina Kannada District Criminal Court,11,1,true
12,Davanagere District Criminal Court,12,1,true
13,Dharwad District Criminal Court,13,1,true
14,Gadag District Criminal Court,14,1,true
15,Hassan District Criminal Court,15,1,true
16,Haveri District Criminal Court,16,1,true
17,Kalaburagi District Criminal Court,17,1,true
18,Kodagu District Criminal Court,18,1,true
19,Kolar District Criminal Court,19,1,true
20,Koppal District Criminal Court,20,1,true
21,Mandya District Criminal Court,21,1,true
22,Mysuru District Criminal Court,22,1,true
23,Raichur District Criminal Court,23,1,true
24,Ramanagara District Criminal Court,24,1,true
25,Shivamogga District Criminal Court,25,1,true
26,Tumakuru District Criminal Court,26,1,true
27,Udupi District Criminal Court,27,1,true
28,Uttara Kannada District Criminal Court,28,1,true
29,Vijayanagara District Criminal Court,29,1,true
30,Vijayapur District Criminal Court,30,1,true
31,Yadgir District Criminal Court,31,1,true
